Years,Date,Teams,INT,INT_TD,INT_YDS,LNG
2017,2017,Lions,19,3,253,37
2017,2017,Packers,11,1,54,21
2017,2017,Panthers,10,0,78,40
2017,2017,Patriots,12,0,114,39
2017,2017,Raiders,5,0,10,8
2017,2017,Rams,18,3,401,69
2017,2017,Ravens,22,3,385,63
2017,2017,Redskins,16,2,194,96
2017,2017,Saints,20,2,192,33
2017,2017,Seahawks,14,3,212,78
2017,2017,Steelers,16,0,184,41
2017,2017,Texans,11,2,144,82
2017,2017,Titans,12,0,154,33
2017,2017,Vikings,14,1,200,36
2016,2016,49ers,10,0,96,39
2016,2016,Bears,8,1,73,25
2016,2016,Bengals,17,0,138,47
2016,2016,Bills,12,1,207,49
2016,2016,Broncos,14,3,367,51
2016,2016,Browns,10,1,146,67
2016,2016,Buccaneers,17,4,234,53
2016,2016,Cardinals,14,2,263,66
2016,2016,Chargers,18,3,292,90
2016,2016,Chiefs,18,4,271,55
2016,2016,Colts,8,0,100,56
2016,2016,Cowboys,9,0,75,27
2016,2016,Dolphins,16,1,186,60
2016,2016,Eagles,16,3,207,64
2016,2016,Falcons,12,3,279,90
2016,2016,Giants,17,1,174,44
2016,2016,Jaguars,7,1,104,35
2016,2016,Jets,8,0,141,51
2016,2016,Lions,10,1,96,39
2016,2016,Packers,17,0,209,44
2016,2016,Panthers,17,1,204,37
2016,2016,Patriots,13,0,109,46
2016,2016,Raiders,16,1,147,40
2016,2016,Rams,10,0,71,29
2016,2016,Ravens,18,0,178,53
2016,2016,Redskins,13,0,186,79
2016,2016,Saints,9,0,109,30
2016,2016,Seahawks,11,0,72,31
2016,2016,Steelers,13,0,133,58
2016,2016,Texans,11,1,132,42
2016,2016,Titans,12,0,68,33
2016,2016,Vikings,14,2,253,100
2015,2015,Bears,8,0,103,39
2015,2015,Bengals,21,1,202,37
2015,2015,Bills,17,2,253,44
2015,2015,Broncos,14,4,321,74
2015,2015,Browns,11,2,210,52
2015,2015,Buccaneers,11,1,93,28
2015,2015,Cardinals,19,4,263,40
2015,2015,Chargers,11,1,152,68
2015,2015,Chiefs,22,4,477,90
2015,2015,Colts,17,4,196,69
2015,2015,Cowboys,8,1,62,24
2015,2015,Dolphins,13,3,184,42
2015,2015,Eagles,15,3,280,99
2015,2015,Falcons,15,1,220,84
2015,2015,Giants,15,2,206,63
2015,2015,Jaguars,9,1,120,48
2015,2015,Jets,18,0,191,31
2015,2015,Lions,9,1,103,31
2015,2015,49ers,9,1,125,45
2015,2015,Packers,16,2,198,45
2015,2015,Panthers,24,4,301,46
2015,2015,Patriots,12,0,176,51
2015,2015,Raiders,14,1,73,27
2015,2015,Rams,13,1,182,58
2015,2015,Ravens,6,1,51,25
2015,2015,Redskins,11,1,181,44
2015,2015,Saints,9,0,87,24
2015,2015,Seahawks,14,0,205,54
2015,2015,Steelers,17,2,282,70
2015,2015,Texans,14,2,180,50
2015,2015,Titans,11,1,164,45
2015,2015,Vikings,13,2,215,91
2014,2014,Bears,14,1,141,45
2014,2014,Bengals,20,1,161,31
2014,2014,Bills,19,0,322,45
2014,2014,Broncos,18,2,213,38
