Years,Date,Teams,W,L,T,Super Bowl,PCT,PF,PA,Net Pts,Home,Road,Div,Pct,Conf,Pct,Non-Conf,Strk,Last 5
2017,2017,Browns,0,16,0,0,0,234,410,-176,0 - 8 - 0,0 - 8 - 0,0 - 6 - 0,0,0 - 12 - 0,0,0 - 4 - 0,16L,0 - 5 - 0
2017,2017,Jaguars,10,6,0,0,0.625,417,268,149,6 - 2 - 0,4 - 4 - 0,4 - 2 - 0,0.667,9 - 3 - 0,0.75,1 - 3 - 0,2L,3 - 2 - 0
2017,2017,Titans,9,7,0,0,0.563,334,356,-22,6 - 2 - 0,3 - 5 - 0,5 - 1 - 0,0.833,8 - 4 - 0,0.667,1 - 3 - 0,1W,2 - 3 - 0
2017,2017,Colts,4,12,0,0,0.25,263,404,-141,3 - 5 - 0,1 - 7 - 0,2 - 4 - 0,0.333,3 - 9 - 0,0.25,1 - 3 - 0,1W,1 - 4 - 0
2017,2017,Texans,4,12,0,0,0.25,338,436,-98,3 - 5 - 0,1 - 7 - 0,1 - 5 - 0,0.167,3 - 9 - 0,0.25,1 - 3 - 0,6L,0 - 5 - 0
2017,2017,Chiefs,10,6,0,0,0.625,415,339,76,6 - 2 - 0,4 - 4 - 0,5 - 1 - 0,0.833,8 - 4 - 0,0.667,2 - 2 - 0,4W,4 - 1 - 0
2017,2017,Chargers,9,7,0,0,0.563,355,272,83,5 - 3 - 0,4 - 4 - 0,3 - 3 - 0,0.5,6 - 6 - 0,0.5,3 - 1 - 0,2W,4 - 1 - 0
2017,2017,Raiders,6,10,0,0,0.375,301,373,-72,4 - 4 - 0,2 - 6 - 0,2 - 4 - 0,0.333,5 - 7 - 0,0.417,1 - 3 - 0,4L,1 - 4 - 0
2017,2017,Broncos,5,11,0,0,0.313,289,382,-93,4 - 4 - 0,1 - 7 - 0,2 - 4 - 0,0.333,4 - 8 - 0,0.333,1 - 3 - 0,2L,2 - 3 - 0
2017,2017,Eagles,13,3,0,0,0.813,457,295,162,7 - 1 - 0,6 - 2 - 0,5 - 1 - 0,0.833,10 - 2 - 0,0.833,3 - 1 - 0,1L,3 - 2 - 0
2017,2017,Cowboys,9,7,0,0,0.563,354,332,22,3 - 5 - 0,6 - 2 - 0,5 - 1 - 0,0.833,7 - 5 - 0,0.583,2 - 2 - 0,1W,4 - 1 - 0
2017,2017,Redskins,7,9,0,0,0.438,342,388,-46,5 - 3 - 0,2 - 6 - 0,1 - 5 - 0,0.167,5 - 7 - 0,0.417,2 - 2 - 0,1L,2 - 3 - 0
2017,2017,Giants,3,13,0,0,0.188,246,388,-142,2 - 6 - 0,1 - 7 - 0,1 - 5 - 0,0.167,1 - 11 - 0,0.083,2 - 2 - 0,1W,1 - 4 - 0
2017,2017,Vikings,13,3,0,0,0.813,382,252,130,7 - 1 - 0,6 - 2 - 0,5 - 1 - 0,0.833,10 - 2 - 0,0.833,3 - 1 - 0,3W,4 - 1 - 0
2017,2017,Lions,9,7,0,0,0.563,410,376,34,4 - 4 - 0,5 - 3 - 0,5 - 1 - 0,0.833,8 - 4 - 0,0.667,1 - 3 - 0,1W,3 - 2 - 0
2017,2017,Packers,7,9,0,0,0.438,320,384,-64,4 - 4 - 0,3 - 5 - 0,2 - 4 - 0,0.333,5 - 7 - 0,0.417,2 - 2 - 0,3L,2 - 3 - 0
2017,2017,Bears,5,11,0,0,0.313,264,320,-56,3 - 5 - 0,2 - 6 - 0,0 - 6 - 0,0,1 - 11 - 0,0.083,4 - 0 - 0,1L,2 - 3 - 0
2017,2017,Saints,11,5,0,0,0.688,448,326,122,7 - 1 - 0,4 - 4 - 0,4 - 2 - 0,0.667,8 - 4 - 0,0.667,3 - 1 - 0,1L,3 - 2 - 0
2017,2017,Panthers,11,5,0,0,0.688,363,327,36,6 - 2 - 0,5 - 3 - 0,3 - 3 - 0,0.5,7 - 5 - 0,0.583,4 - 0 - 0,1L,3 - 2 - 0
2017,2017,Falcons,10,6,0,0,0.625,353,315,38,5 - 3 - 0,5 - 3 - 0,4 - 2 - 0,0.667,9 - 3 - 0,0.75,1 - 3 - 0,1W,3 - 2 - 0
2017,2017,Buccaneers,5,11,0,0,0.313,335,382,-47,4 - 4 - 0,1 - 7 - 0,1 - 5 - 0,0.167,3 - 9 - 0,0.25,2 - 2 - 0,1W,1 - 4 - 0
2017,2017,Rams,11,5,0,0,0.688,478,329,149,4 - 4 - 0,7 - 1 - 0,4 - 2 - 0,0.667,7 - 5 - 0,0.583,4 - 0 - 0,1L,3 - 2 - 0
2017,2017,Seahawks,9,7,0,0,0.563,366,332,34,4 - 4 - 0,5 - 3 - 0,4 - 2 - 0,0.667,7 - 5 - 0,0.583,2 - 2 - 0,1L,2 - 3 - 0
2017,2017,Cardinals,8,8,0,0,0.5,295,361,-66,5 - 3 - 0,3 - 5 - 0,3 - 3 - 0,0.5,5 - 7 - 0,0.417,3 - 1 - 0,2W,3 - 2 - 0
2017,2017,49ers,6,10,0,0,0.375,331,383,-52,3 - 5 - 0,3 - 5 - 0,1 - 5 - 0,0.167,3 - 9 - 0,0.25,3 - 1 - 0,5W,5 - 0 - 0
2016,2016,Patriots,14,2,0,0,0.875,441,250,191,6 - 2 - 0,8 - 0 - 0,5 - 1 - 0,0.833,11 - 1 - 0,0.917,3 - 1 - 0,7W,5 - 0 - 0
2016,2016,Dolphins,10,6,0,0,0.625,363,380,-17,6 - 2 - 0,4 - 4 - 0,4 - 2 - 0,0.667,7 - 5 - 0,0.583,3 - 1 - 0,1L,3 - 2 - 0
2016,2016,Bills,7,9,0,0,0.438,399,378,21,4 - 4 - 0,3 - 5 - 0,1 - 5 - 0,0.167,4 - 8 - 0,0.333,3 - 1 - 0,2L,1 - 4 - 0
2016,2016,Jets,5,11,0,0,0.313,275,409,-134,2 - 6 - 0,3 - 5 - 0,2 - 4 - 0,0.333,4 - 8 - 0,0.333,1 - 3 - 0,1W,2 - 3 - 0
2016,2016,Steelers,11,5,0,0,0.688,399,327,72,6 - 2 - 0,5 - 3 - 0,5 - 1 - 0,0.833,9 - 3 - 0,0.75,2 - 2 - 0,7W,5 - 0 - 0
2016,2016,Ravens,8,8,0,0,0.5,343,321,22,6 - 2 - 0,2 - 6 - 0,4 - 2 - 0,0.667,7 - 5 - 0,0.583,1 - 3 - 0,2L,2 - 3 - 0
2016,2016,Bengals,6,9,1,0,0.406,325,315,10,4 - 3 - 1,2 - 6 - 0,3 - 3 - 0,0.5,5 - 7 - 0,0.417,1 - 2 - 1,1W,3 - 2 - 0
2016,2016,Browns,1,15,0,0,0.063,264,452,-188,1 - 7 - 0,0 - 8 - 0,0 - 6 - 0,0,1 - 11 - 0,0.083,0 - 4 - 0,1L,1 - 4 - 0
2016,2016,Texans,9,7,0,0,0.563,279,328,-49,7 - 1 - 0,2 - 6 - 0,5 - 1 - 0,0.833,7 - 5 - 0,0.583,2 - 2 - 0,1L,3 - 2 - 0
2016,2016,Titans,9,7,0,0,0.563,381,378,3,5 - 3 - 0,4 - 4 - 0,2 - 4 - 0,0.333,6 - 6 - 0,0.5,3 - 1 - 0,1W,4 - 1 - 0
2016,2016,Colts,8,8,0,0,0.5,411,392,19,4 - 4 - 0,4 - 4 - 0,3 - 3 - 0,0.5,5 - 7 - 0,0.417,3 - 1 - 0,1W,3 - 2 - 0
2016,2016,Jaguars,3,13,0,0,0.188,318,400,-82,2 - 6 - 0,1 - 7 - 0,2 - 4 - 0,0.333,2 - 10 - 0,0.167,1 - 3 - 0,1L,1 - 4 - 0
2016,2016,Chiefs,12,4,0,0,0.75,389,311,78,6 - 2 - 0,6 - 2 - 0,6 - 0 - 0,1,9 - 3 - 0,0.75,3 - 1 - 0,2W,4 - 1 - 0
2016,2016,Raiders,12,4,0,0,0.75,416,385,31,6 - 2 - 0,6 - 2 - 0,3 - 3 - 0,0.5,9 - 3 - 0,0.75,3 - 1 - 0,1L,3 - 2 - 0
2016,2016,Broncos,9,7,0,1,0.563,333,297,36,5 - 3 - 0,4 - 4 - 0,2 - 4 - 0,0.333,6 - 6 - 0,0.5,3 - 1 - 0,1W,2 - 3 - 0
2016,2016,Chargers,5,11,0,0,0.313,410,423,-13,3 - 5 - 0,2 - 6 - 0,1 - 5 - 0,0.167,4 - 8 - 0,0.333,1 - 3 - 0,5L,0 - 5 - 0
2016,2016,Cowboys,13,3,0,0,0.813,421,306,115,7 - 1 - 0,6 - 2 - 0,3 - 3 - 0,0.5,9 - 3 - 0,0.75,4 - 0 - 0,1L,3 - 2 - 0
2016,2016,Giants,11,5,0,0,0.688,310,284,26,7 - 1 - 0,4 - 4 - 0,4 - 2 - 0,0.667,8 - 4 - 0,0.667,3 - 1 - 0,1W,3 - 2 - 0
2016,2016,Redskins,8,7,1,0,0.531,396,383,13,4 - 4 - 0,4 - 3 - 1,3 - 3 - 0,0.5,6 - 6 - 0,0.5,2 - 1 - 1,1L,2 - 3 - 0
2016,2016,Eagles,7,9,0,0,0.438,367,331,36,6 - 2 - 0,1 - 7 - 0,2 - 4 - 0,0.333,5 - 7 - 0,0.417,2 - 2 - 0,2W,2 - 3 - 0
2016,2016,Packers,10,6,0,0,0.625,432,388,44,6 - 2 - 0,4 - 4 - 0,5 - 1 - 0,0.833,8 - 4 - 0,0.667,2 - 2 - 0,6W,5 - 0 - 0
2016,2016,Lions,9,7,0,0,0.563,346,358,-12,6 - 2 - 0,3 - 5 - 0,3 - 3 - 0,0.5,7 - 5 - 0,0.583,2 - 2 - 0,3L,2 - 3 - 0
2016,2016,Vikings,8,8,0,0,0.5,327,307,20,5 - 3 - 0,3 - 5 - 0,2 - 4 - 0,0.333,5 - 7 - 0,0.417,3 - 1 - 0,1W,2 - 3 - 0
2016,2016,Bears,3,13,0,0,0.188,279,399,-120,3 - 5 - 0,0 - 8 - 0,2 - 4 - 0,0.333,3 - 9 - 0,0.25,0 - 4 - 0,4L,1 - 4 - 0
2016,2016,Falcons,11,5,0,0,0.688,540,406,134,5 - 3 - 0,6 - 2 - 0,5 - 1 - 0,0.833,9 - 3 - 0,0.75,2 - 2 - 0,4W,4 - 1 - 0
2016,2016,Buccaneers,9,7,0,0,0.563,354,369,-15,4 - 4 - 0,5 - 3 - 0,4 - 2 - 0,0.667,7 - 5 - 0,0.583,2 - 2 - 0,1W,3 - 2 - 0
2016,2016,Saints,7,9,0,0,0.438,469,454,15,4 - 4 - 0,3 - 5 - 0,2 - 4 - 0,0.333,6 - 6 - 0,0.5,1 - 3 - 0,1L,2 - 3 - 0
2016,2016,Panthers,6,10,0,0,0.375,369,402,-33,4 - 4 - 0,2 - 6 - 0,1 - 5 - 0,0.167,5 - 7 - 0,0.417,1 - 3 - 0,2L,2 - 3 - 0
2016,2016,Seahawks,10,5,1,0,0.656,354,292,62,7 - 1 - 0,3 - 4 - 1,3 - 2 - 1,0.583,6 - 5 - 1,0.542,4 - 0 - 0,1W,3 - 2 - 0
2016,2016,Cardinals,7,8,1,0,0.469,418,362,56,4 - 3 - 1,3 - 5 - 0,4 - 1 - 1,0.75,6 - 5 - 1,0.542,1 - 3 - 0,2W,3 - 2 - 0
2016,2016,Rams,4,12,0,0,0.25,224,394,-170,1 - 7 - 0,3 - 5 - 0,2 - 4 - 0,0.333,3 - 9 - 0,0.25,1 - 3 - 0,7L,0 - 5 - 0
2016,2016,49ers,2,14,0,0,0.125,309,480,-171,1 - 7 - 0,1 - 7 - 0,2 - 4 - 0,0.333,2 - 10 - 0,0.167,0 - 4 - 0,1L,1 - 4 - 0
2015,2015,Patriots,12,4,0,1,0.75,465,315,150,7 - 1 - 0,5 - 3 - 0,4 - 2 - 0,0.667,9 - 3 - 0,0.75,3 - 1 - 0,2L,2 - 3 - 0
2015,2015,Jets,10,6,0,0,0.625,387,314,73,6 - 2 - 0,4 - 4 - 0,3 - 3 - 0,0.5,7 - 5 - 0,0.583,3 - 1 - 0,1L,4 - 1 - 0
2015,2015,Bills,8,8,0,0,0.5,379,359,20,5 - 3 - 0,3 - 5 - 0,4 - 2 - 0,0.667,7 - 5 - 0,0.583,1 - 3 - 0,2W,3 - 2 - 0
2015,2015,Dolphins,6,10,0,0,0.375,310,389,-79,3 - 5 - 0,3 - 5 - 0,1 - 5 - 0,0.167,4 - 8 - 0,0.333,2 - 2 - 0,1W,2 - 3 - 0
2015,2015,Bengals,12,4,0,0,0.75,419,279,140,6 - 2 - 0,6 - 2 - 0,5 - 1 - 0,0.833,9 - 3 - 0,0.75,3 - 1 - 0,1W,3 - 2 - 0
2015,2015,Steelers,10,6,0,0,0.625,423,319,104,6 - 2 - 0,4 - 4 - 0,3 - 3 - 0,0.5,7 - 5 - 0,0.583,3 - 1 - 0,1W,4 - 1 - 0
2015,2015,Ravens,5,11,0,0,0.313,328,401,-73,3 - 5 - 0,2 - 6 - 0,3 - 3 - 0,0.5,4 - 8 - 0,0.333,1 - 3 - 0,1L,1 - 4 - 0
2015,2015,Browns,3,13,0,0,0.188,278,432,-154,2 - 6 - 0,1 - 7 - 0,1 - 5 - 0,0.167,2 - 10 - 0,0.167,1 - 3 - 0,3L,1 - 4 - 0
2015,2015,Texans,9,7,0,0,0.563,339,313,26,5 - 3 - 0,4 - 4 - 0,5 - 1 - 0,0.833,7 - 5 - 0,0.583,2 - 2 - 0,3W,3 - 2 - 0
2015,2015,Colts,8,8,0,0,0.5,333,408,-75,4 - 4 - 0,4 - 4 - 0,4 - 2 - 0,0.667,6 - 6 - 0,0.5,2 - 2 - 0,2W,2 - 3 - 0
2015,2015,Jaguars,5,11,0,0,0.313,376,448,-72,4 - 4 - 0,1 - 7 - 0,2 - 4 - 0,0.333,5 - 7 - 0,0.417,0 - 4 - 0,3L,1 - 4 - 0
2015,2015,Titans,3,13,0,0,0.188,299,423,-124,1 - 7 - 0,2 - 6 - 0,1 - 5 - 0,0.167,1 - 11 - 0,0.083,2 - 2 - 0,4L,1 - 4 - 0
2015,2015,Broncos,12,4,0,0,0.75,355,296,59,6 - 2 - 0,6 - 2 - 0,4 - 2 - 0,0.667,8 - 4 - 0,0.667,4 - 0 - 0,2W,3 - 2 - 0
2015,2015,Chiefs,11,5,0,0,0.688,405,287,118,6 - 2 - 0,5 - 3 - 0,5 - 1 - 0,0.833,10 - 2 - 0,0.833,1 - 3 - 0,10W,5 - 0 - 0
2015,2015,Raiders,7,9,0,0,0.438,359,399,-40,3 - 5 - 0,4 - 4 - 0,3 - 3 - 0,0.5,7 - 5 - 0,0.583,0 - 4 - 0,1L,2 - 3 - 0
2015,2015,Chargers,4,12,0,0,0.25,320,398,-78,3 - 5 - 0,1 - 7 - 0,0 - 6 - 0,0,3 - 9 - 0,0.25,1 - 3 - 0,2L,1 - 4 - 0
2015,2015,Redskins,9,7,0,0,0.563,388,379,9,6 - 2 - 0,3 - 5 - 0,4 - 2 - 0,0.667,8 - 4 - 0,0.667,1 - 3 - 0,4W,4 - 1 - 0
2015,2015,Eagles,7,9,0,0,0.438,377,430,-53,3 - 5 - 0,4 - 4 - 0,3 - 3 - 0,0.5,4 - 8 - 0,0.333,3 - 1 - 0,1W,3 - 2 - 0
2015,2015,Giants,6,10,0,0,0.375,420,442,-22,3 - 5 - 0,3 - 5 - 0,2 - 4 - 0,0.333,4 - 8 - 0,0.333,2 - 2 - 0,3L,1 - 4 - 0
2015,2015,Cowboys,4,12,0,0,0.25,275,374,-99,1 - 7 - 0,3 - 5 - 0,3 - 3 - 0,0.5,3 - 9 - 0,0.25,1 - 3 - 0,4L,1 - 4 - 0
2015,2015,Vikings,11,5,0,0,0.688,365,302,63,6 - 2 - 0,5 - 3 - 0,5 - 1 - 0,0.833,8 - 4 - 0,0.667,3 - 1 - 0,3W,3 - 2 - 0
2015,2015,Packers,10,6,0,0,0.625,368,323,45,5 - 3 - 0,5 - 3 - 0,3 - 3 - 0,0.5,7 - 5 - 0,0.583,3 - 1 - 0,2L,3 - 2 - 0
2015,2015,Lions,7,9,0,0,0.438,358,400,-42,4 - 4 - 0,3 - 5 - 0,3 - 3 - 0,0.5,6 - 6 - 0,0.5,1 - 3 - 0,3W,3 - 2 - 0
2015,2015,Bears,6,10,0,0,0.375,335,397,-62,1 - 7 - 0,5 - 3 - 0,1 - 5 - 0,0.167,3 - 9 - 0,0.25,3 - 1 - 0,1L,1 - 4 - 0
2015,2015,Panthers,15,1,0,0,0.938,500,308,192,8 - 0 - 0,7 - 1 - 0,5 - 1 - 0,0.833,11 - 1 - 0,0.917,4 - 0 - 0,1W,4 - 1 - 0
2015,2015,Falcons,8,8,0,0,0.5,339,345,-6,4 - 4 - 0,4 - 4 - 0,1 - 5 - 0,0.167,5 - 7 - 0,0.417,3 - 1 - 0,1L,2 - 3 - 0
2015,2015,Saints,7,9,0,0,0.438,408,476,-68,4 - 4 - 0,3 - 5 - 0,3 - 3 - 0,0.5,5 - 7 - 0,0.417,2 - 2 - 0,2W,3 - 2 - 0
2015,2015,Buccaneers,6,10,0,0,0.375,342,417,-75,3 - 5 - 0,3 - 5 - 0,3 - 3 - 0,0.5,5 - 7 - 0,0.417,1 - 3 - 0,4L,1 - 4 - 0
2015,2015,Cardinals,13,3,0,0,0.813,489,313,176,6 - 2 - 0,7 - 1 - 0,4 - 2 - 0,0.667,10 - 2 - 0,0.833,3 - 1 - 0,1L,4 - 1 - 0
2015,2015,Seahawks,10,6,0,0,0.625,423,277,146,5 - 3 - 0,5 - 3 - 0,3 - 3 - 0,0.5,7 - 5 - 0,0.583,3 - 1 - 0,1W,4 - 1 - 0
2015,2015,Rams,7,9,0,0,0.438,280,330,-50,5 - 3 - 0,2 - 6 - 0,4 - 2 - 0,0.667,6 - 6 - 0,0.5,1 - 3 - 0,1L,3 - 2 - 0
2015,2015,49ers,5,11,0,0,0.313,238,387,-149,4 - 4 - 0,1 - 7 - 0,1 - 5 - 0,0.167,4 - 8 - 0,0.333,1 - 3 - 0,1W,2 - 3 - 0
2014,2014,Patriots,12,4,0,0,0.75,468,313,155,7 - 1 - 0,5 - 3 - 0,4 - 2 - 0,0.667,9 - 3 - 0,0.75,3 - 1 - 0,1L,3 - 2 - 0
2014,2014,Bills,9,7,0,0,0.563,343,289,54,5 - 3 - 0,4 - 4 - 0,4 - 2 - 0,0.667,5 - 7 - 0,0.417,4 - 0 - 0,1W,3 - 2 - 0
2014,2014,Dolphins,8,8,0,0,0.5,388,373,15,4 - 4 - 0,4 - 4 - 0,3 - 3 - 0,0.5,6 - 6 - 0,0.5,2 - 2 - 0,1L,2 - 3 - 0
2014,2014,Jets,4,12,0,0,0.25,283,401,-118,2 - 6 - 0,2 - 6 - 0,1 - 5 - 0,0.167,4 - 8 - 0,0.333,0 - 4 - 0,1W,2 - 3 - 0
2014,2014,Steelers,11,5,0,0,0.688,436,368,68,6 - 2 - 0,5 - 3 - 0,4 - 2 - 0,0.667,9 - 3 - 0,0.75,2 - 2 - 0,4W,4 - 1 - 0
2014,2014,Bengals,10,5,1,0,0.656,365,344,21,5 - 2 - 1,5 - 3 - 0,3 - 3 - 0,0.5,7 - 5 - 0,0.583,3 - 0 - 1,1L,3 - 2 - 0
2014,2014,Ravens,10,6,0,0,0.625,409,302,107,6 - 2 - 0,4 - 4 - 0,3 - 3 - 0,0.5,6 - 6 - 0,0.5,4 - 0 - 0,1W,3 - 2 - 0
2014,2014,Browns,7,9,0,0,0.438,299,337,-38,4 - 4 - 0,3 - 5 - 0,2 - 4 - 0,0.333,4 - 8 - 0,0.333,3 - 1 - 0,5L,0 - 5 - 0
2014,2014,Colts,11,5,0,0,0.688,458,369,89,6 - 2 - 0,5 - 3 - 0,6 - 0 - 0,1,9 - 3 - 0,0.75,2 - 2 - 0,1W,4 - 1 - 0
2014,2014,Texans,9,7,0,0,0.563,372,307,65,5 - 3 - 0,4 - 4 - 0,4 - 2 - 0,0.667,8 - 4 - 0,0.667,1 - 3 - 0,2W,4 - 1 - 0
2014,2014,Jaguars,3,13,0,0,0.188,249,412,-163,3 - 5 - 0,0 - 8 - 0,1 - 5 - 0,0.167,2 - 10 - 0,0.167,1 - 3 - 0,1L,2 - 3 - 0
2014,2014,Titans,2,14,0,0,0.125,254,438,-184,1 - 7 - 0,1 - 7 - 0,1 - 5 - 0,0.167,2 - 10 - 0,0.167,0 - 4 - 0,10L,0 - 5 - 0
2014,2014,Broncos,12,4,0,0,0.75,482,354,128,8 - 0 - 0,4 - 4 - 0,6 - 0 - 0,1,10 - 2 - 0,0.833,2 - 2 - 0,1W,4 - 1 - 0
2014,2014,Chiefs,9,7,0,0,0.563,353,281,72,6 - 2 - 0,3 - 5 - 0,3 - 3 - 0,0.5,7 - 5 - 0,0.583,2 - 2 - 0,1W,2 - 3 - 0
2014,2014,Chargers,9,7,0,0,0.563,348,348,0,5 - 3 - 0,4 - 4 - 0,2 - 4 - 0,0.333,6 - 6 - 0,0.5,3 - 1 - 0,1L,2 - 3 - 0
2014,2014,Raiders,3,13,0,0,0.188,253,452,-199,3 - 5 - 0,0 - 8 - 0,1 - 5 - 0,0.167,2 - 10 - 0,0.167,1 - 3 - 0,1L,2 - 3 - 0
2014,2014,Cowboys,12,4,0,0,0.75,467,352,115,4 - 4 - 0,8 - 0 - 0,4 - 2 - 0,0.667,8 - 4 - 0,0.667,4 - 0 - 0,4W,4 - 1 - 0
2014,2014,Eagles,10,6,0,0,0.625,474,400,74,6 - 2 - 0,4 - 4 - 0,4 - 2 - 0,0.667,6 - 6 - 0,0.5,4 - 0 - 0,1W,2 - 3 - 0
2014,2014,Giants,6,10,0,0,0.375,380,400,-20,3 - 5 - 0,3 - 5 - 0,2 - 4 - 0,0.333,4 - 8 - 0,0.333,2 - 2 - 0,1L,3 - 2 - 0
2014,2014,Redskins,4,12,0,0,0.25,301,438,-137,3 - 5 - 0,1 - 7 - 0,2 - 4 - 0,0.333,2 - 10 - 0,0.167,2 - 2 - 0,1L,1 - 4 - 0
2014,2014,Packers,12,4,0,0,0.75,486,348,138,8 - 0 - 0,4 - 4 - 0,5 - 1 - 0,0.833,9 - 3 - 0,0.75,3 - 1 - 0,2W,4 - 1 - 0
2014,2014,Lions,11,5,0,0,0.688,321,282,39,7 - 1 - 0,4 - 4 - 0,5 - 1 - 0,0.833,9 - 3 - 0,0.75,2 - 2 - 0,1L,4 - 1 - 0
2014,2014,Vikings,7,9,0,0,0.438,325,343,-18,5 - 3 - 0,2 - 6 - 0,1 - 5 - 0,0.167,6 - 6 - 0,0.5,1 - 3 - 0,1W,3 - 2 - 0
2014,2014,Bears,5,11,0,0,0.313,319,442,-123,2 - 6 - 0,3 - 5 - 0,1 - 5 - 0,0.167,4 - 8 - 0,0.333,1 - 3 - 0,5L,0 - 5 - 0
2014,2014,Panthers,7,8,1,0,0.469,339,374,-35,4 - 4 - 0,3 - 4 - 1,4 - 2 - 0,0.667,6 - 6 - 0,0.5,1 - 2 - 1,4W,4 - 1 - 0
2014,2014,Saints,7,9,0,0,0.438,401,424,-23,3 - 5 - 0,4 - 4 - 0,3 - 3 - 0,0.5,6 - 6 - 0,0.5,1 - 3 - 0,1W,3 - 2 - 0
2014,2014,Falcons,6,10,0,0,0.375,381,417,-36,3 - 5 - 0,3 - 5 - 0,5 - 1 - 0,0.833,6 - 6 - 0,0.5,0 - 4 - 0,1L,2 - 3 - 0
2014,2014,Buccaneers,2,14,0,0,0.125,277,410,-133,0 - 8 - 0,2 - 6 - 0,0 - 6 - 0,0,1 - 11 - 0,0.083,1 - 3 - 0,6L,0 - 5 - 0
2014,2014,Seahawks,12,4,0,1,0.75,394,254,140,7 - 1 - 0,5 - 3 - 0,5 - 1 - 0,0.833,10 - 2 - 0,0.833,2 - 2 - 0,6W,5 - 0 - 0
2014,2014,Cardinals,11,5,0,0,0.688,310,299,11,7 - 1 - 0,4 - 4 - 0,3 - 3 - 0,0.5,8 - 4 - 0,0.667,3 - 1 - 0,2L,2 - 3 - 0
2014,2014,49ers,8,8,0,0,0.5,306,340,-34,4 - 4 - 0,4 - 4 - 0,2 - 4 - 0,0.333,7 - 5 - 0,0.583,1 - 3 - 0,1W,1 - 4 - 0
2014,2014,Rams,6,10,0,0,0.375,324,354,-30,3 - 5 - 0,3 - 5 - 0,2 - 4 - 0,0.333,4 - 8 - 0,0.333,2 - 2 - 0,3L,2 - 3 - 0
2013,2013,Patriots,12,4,0,0,0.75,444,338,106,8 - 0 - 0,4 - 4 - 0,4 - 2 - 0,0.667,9 - 3 - 0,0.75,3 - 1 - 0,2W,4 - 1 - 0
2013,2013,Jets,8,8,0,0,0.5,290,387,-97,6 - 2 - 0,2 - 6 - 0,3 - 3 - 0,0.5,5 - 7 - 0,0.417,3 - 1 - 0,2W,3 - 2 - 0
2013,2013,Dolphins,8,8,0,0,0.5,317,335,-18,4 - 4 - 0,4 - 4 - 0,2 - 4 - 0,0.333,7 - 5 - 0,0.583,1 - 3 - 0,2L,3 - 2 - 0
2013,2013,Bills,6,10,0,0,0.375,339,388,-49,4 - 4 - 0,2 - 6 - 0,3 - 3 - 0,0.5,5 - 7 - 0,0.417,1 - 3 - 0,1L,2 - 3 - 0
2013,2013,Bengals,11,5,0,0,0.688,430,305,125,8 - 0 - 0,3 - 5 - 0,3 - 3 - 0,0.5,8 - 4 - 0,0.667,3 - 1 - 0,2W,4 - 1 - 0
2013,2013,Steelers,8,8,0,0,0.5,379,370,9,5 - 3 - 0,3 - 5 - 0,4 - 2 - 0,0.667,6 - 6 - 0,0.5,2 - 2 - 0,3W,3 - 2 - 0
2013,2013,Ravens,8,8,0,1,0.5,320,352,-32,6 - 2 - 0,2 - 6 - 0,3 - 3 - 0,0.5,6 - 6 - 0,0.5,2 - 2 - 0,2L,3 - 2 - 0
2013,2013,Browns,4,12,0,0,0.25,308,406,-98,3 - 5 - 0,1 - 7 - 0,2 - 4 - 0,0.333,3 - 9 - 0,0.25,1 - 3 - 0,7L,0 - 5 - 0
2013,2013,Colts,11,5,0,0,0.688,391,336,55,6 - 2 - 0,5 - 3 - 0,6 - 0 - 0,1,9 - 3 - 0,0.75,2 - 2 - 0,3W,4 - 1 - 0
2013,2013,Titans,7,9,0,0,0.438,362,381,-19,3 - 5 - 0,4 - 4 - 0,2 - 4 - 0,0.333,6 - 6 - 0,0.5,1 - 3 - 0,2W,2 - 3 - 0
2013,2013,Jaguars,4,12,0,0,0.25,247,449,-202,1 - 7 - 0,3 - 5 - 0,3 - 3 - 0,0.5,4 - 8 - 0,0.333,0 - 4 - 0,3L,2 - 3 - 0
2013,2013,Texans,2,14,0,0,0.125,276,428,-152,1 - 7 - 0,1 - 7 - 0,1 - 5 - 0,0.167,2 - 10 - 0,0.167,0 - 4 - 0,14L,0 - 5 - 0
2013,2013,Broncos,13,3,0,0,0.813,606,399,207,7 - 1 - 0,6 - 2 - 0,5 - 1 - 0,0.833,9 - 3 - 0,0.75,4 - 0 - 0,2W,4 - 1 - 0
2013,2013,Chiefs,11,5,0,0,0.688,430,305,125,5 - 3 - 0,6 - 2 - 0,2 - 4 - 0,0.333,7 - 5 - 0,0.583,4 - 0 - 0,2L,2 - 3 - 0
2013,2013,Chargers,9,7,0,0,0.563,396,348,48,5 - 3 - 0,4 - 4 - 0,4 - 2 - 0,0.667,6 - 6 - 0,0.5,3 - 1 - 0,4W,4 - 1 - 0
2013,2013,Raiders,4,12,0,0,0.25,322,453,-131,3 - 5 - 0,1 - 7 - 0,1 - 5 - 0,0.167,4 - 8 - 0,0.333,0 - 4 - 0,6L,0 - 5 - 0
2013,2013,Eagles,10,6,0,0,0.625,442,382,60,4 - 4 - 0,6 - 2 - 0,4 - 2 - 0,0.667,9 - 3 - 0,0.75,1 - 3 - 0,2W,4 - 1 - 0
2013,2013,Cowboys,8,8,0,0,0.5,439,432,7,5 - 3 - 0,3 - 5 - 0,5 - 1 - 0,0.833,7 - 5 - 0,0.583,1 - 3 - 0,1L,2 - 3 - 0
