Years,Date,Teams,W,L,T,Super Bowl,PCT,PF,PA,Net Pts,Home,Road,Div,Pct,Conf,Pct,Non-Conf,Strk,Last 5
2020,2020,Seahawks,12,4,0,0,0.75,459,371,88,7 - 1 - 0,5 - 3 - 0,4 - 2 - 0,0.667,9 - 3 - 0,0.75,3 - 1 - 0,4W,4 - 1 - 0
2020,2020,Rams,10,6,0,0,0.625,372,296,76,6 - 2 - 0,4 - 4 - 0,3 - 3 - 0,0.5,9 - 3 - 0,0.75,1 - 3 - 0,1W,3 - 2 - 0
2020,2020,Cardinals,8,8,0,0,0.5,410,367,43,4 - 4 - 0,4 - 4 - 0,2 - 4 - 0,0.333,6 - 6 - 0,0.5,2 - 2 - 0,2L,2 - 3 - 0
2020,2020,49ers,6,10,0,0,0.375,376,390,-14,1 - 7 - 0,5 - 3 - 0,3 - 3 - 0,0.5,4 - 8 - 0,0.333,2 - 2 - 0,1L,1 - 4 - 0
2019,2019,Patriots,12,4,0,1,0.75,420,225,195,6 - 2 - 0,6 - 2 - 0,5 - 1 - 0,0.833,8 - 4 - 0,0.667,4 - 0 - 0,1L,2 - 3 - 0
2019,2019,Bills,10,6,0,0,0.625,314,259,55,4 - 4 - 0,6 - 2 - 0,3 - 3 - 0,0.5,7 - 5 - 0,0.583,3 - 1 - 0,2L,2 - 3 - 0
2019,2019,Jets,7,9,0,0,0.438,276,359,-83,5 - 3 - 0,2 - 6 - 0,2 - 4 - 0,0.333,4 - 8 - 0,0.333,3 - 1 - 0,2W,3 - 2 - 0
2019,2019,Dolphins,5,11,0,0,0.313,306,494,-188,3 - 5 - 0,2 - 6 - 0,2 - 4 - 0,0.333,4 - 8 - 0,0.333,1 - 3 - 0,2W,3 - 2 - 0
2019,2019,Ravens,14,2,0,0,0.875,531,282,249,7 - 1 - 0,7 - 1 - 0,5 - 1 - 0,0.833,10 - 2 - 0,0.833,4 - 0 - 0,12W,5 - 0 - 0
2019,2019,Steelers,8,8,0,0,0.5,289,303,-14,5 - 3 - 0,3 - 5 - 0,3 - 3 - 0,0.5,6 - 6 - 0,0.5,2 - 2 - 0,3L,2 - 3 - 0
2019,2019,Browns,6,10,0,0,0.375,335,393,-58,4 - 4 - 0,2 - 6 - 0,3 - 3 - 0,0.5,6 - 6 - 0,0.5,0 - 4 - 0,3L,1 - 4 - 0
2019,2019,Bengals,2,14,0,0,0.125,279,420,-141,2 - 6 - 0,0 - 8 - 0,1 - 5 - 0,0.167,2 - 10 - 0,0.167,0 - 4 - 0,1W,2 - 3 - 0
